Country Name,2005,2006,2007,2008,2009,2010
Aruba,20,20,20,20,20,20
Africa Eastern and Southern,6646197.25,6675292.72,6699446.99,6723686.56,6763004.83,6794743.8
Afghanistan,379100,379100,379100,379100,379100,379110
Africa Western and Central,3467992.2,3467258.18,3480553.96,3504651.44,3515615.22,3531402.7
Angola,497366.95,502917.56,508468.17,514018.78,519569.39,525120
Albania,10770,11200,11190,11810,12013,12013
Andorra,218,217.8,207.7,207.6,207.7,197.7
Arab World,5458841,5461424.5,5467614,5459316,5459535.6,5465365
United Arab Emirates,5570,5386,5326,5396,3879,3923
Argentina,1299209,1301389,1299684,1270469,1243284,1262679
Armenia,16050,17564,17519,17488,17463,17350
American Samoa,56,54.9,53.9,53,51.7,50.4
Antigua and Barbuda,90,90,90,90,90,90
Australia,4102300,4093020,3983555,3892880,3842570,3763720
Austria,28568,28433,28301,28094,27950,27792
Azerbaijan,47586,47560,47565,47567,47573,47668
Burundi,18190,18220,18250,18280,18310,18330
Belgium,13830,13800,13669,13653,13636,13557
Benin,34840,33400,33500,35500,36500,36500
Burkina Faso,109700,107940,110180,121425,118430,121430
Bangladesh,93110,92800,92660,92530,92460,92410
Bulgaria,52650,51900,51160,51010,50300,50520
Bahrain,87,85.5,84,82,83.6,86
"Bahamas, The",130,130,130,130,150,150
Bosnia and Herzegovina,21570,21590,21490,21300,21280,21440
Belarus,89490,89580,89160,89170,89270,88980
Belize,1520,1520,1520,1520,1550,1570
Bermuda,4,4,4,3,3,3
Bolivia,369620,371120,373900,374850,376730,375160
Brazil,2288420,2289510,2296718,2303926,2311134,2318342
Barbados,160,160,160,160,160,150
Brunei Darussalam,110,103,114,114,134,134
Bhutan,5930,5770,5630,5213,5200,5200
Botswana,258150,258030,257840,258810,259180,258610
Central African Republic,52150,52100,52100,51780,51460,51140
Canada,616560,605840,600080,594320,588560,582800
Central Europe and the Baltics,539333.9,537651.5,526982,529461.7,529073.9,519523.8
Switzerland,15500,15468,15435,15406,15375,15346
Channel Islands,,,,,,
Chile,158850,158000,157320,157840,157820,157430
China,5266822.222,5272720.667,5278619.111,5284517.556,5290386,5289168
Cote d'Ivoire,202000,203000,206000,206000,206000,206000
Cameroon,92130,92130,92130,92630,93130,97000
"Congo, Dem. Rep.",255500,255860,256500,257000,268870,284290
"Congo, Rep.",105470,105500,105500,105500,105630,105760
Colombia,425570,421740,424360,426140,425400,425030
Comoros,1330,1330,1330,1330,1330,1330
Cabo Verde,750,760,760,780,780,780
Costa Rica,18050,18150,18000,17930,18160,18190
Caribbean small states,19786.85,19823.36,19808.87,19711.48,19925.89,19931.3
Cuba,66370,66300,66200,65670,65138,64612
Curacao,,,,,,
Cayman Islands,27,27,27,27,27,27
Cyprus,1670,1570,1472,1156,1276,1145
Czechia,36054.9,35659.5,35967,35716.1,35458.7,35239.2
Germany,170310,169460,169500,169210,168860,167000
Djibouti,17010,17013,17015,17012,17013,17016
Dominica,220,220,220,220,230,250
Denmark,27070,27100,26630,26680,26340,26260
Dominican Republic,24170,24170,24170,23970,23970,23970
Algeria,412110,411810,412520,413090,413800,413740
East Asia & Pacific (excluding high income),7639444.322,7656503.567,7684386.011,7710810.556,7743170.262,7752119.7
Early-demographic dividend,13383394.65,13380335.92,13401345.99,13325995.86,13316003.73,13324754.9
East Asia & Pacific,11936096.92,11939964.07,11858995.01,11793048.56,11775733.26,11704538.1
Europe & Central Asia (excluding high income),6214036,6198460,6177915,6165327,6156299,6217751
Europe & Central Asia,8130169.09,8106766.39,8063610.69,8059469.99,8037088.1,8081776.65
Ecuador,75000,74440,74120,74450,75344,74977
"Egypt, Arab Rep.",35230,35330,35380,35420,36890,36710
Euro area,1231117.9,1216685.6,1205833.2,1212579.2,1203568.2,1198599
Eritrea,75220,75720,75720,75720,75920,75920
Spain,291640,286130,280040,281420,279700,275450
Estonia,8819,8985,9146,9068,9318,9488
Ethiopia,335910,342190,350770,345130,349850,356830
European Union,1750504.8,1733196.1,1711879.2,1719884.3,1709564.9,1694173.2
