Country Name,2005,2006,2007,2008,2009,2010
Aruba,,,,,,
Africa Eastern and Southern,458459.9946,465440.0082,486179.997,519309.9901,501940.0115,529639.9974
Afghanistan,1549.999952,1759.99999,1769.999981,3559.999943,4880.000114,7110.000134
Africa Western and Central,155280.001,148879.9972,142610.0024,151339.9997,146719.9976,165489.9977
Angola,15810.00042,16559.99947,16969.99931,19280.00069,21149.99962,22799.99924
Albania,4030.00021,4010.000229,4139.999866,4079.999924,4219.99979,4449.999809
Andorra,579.9999833,550.0000119,540.0000215,540.0000215,519.9999809,519.9999809
Arab World,1188503.621,1251799.659,1303116.441,1408053.35,1455346.868,1541776.726
United Arab Emirates,116459.9991,121559.9976,131830.0018,156050.0031,157020.0043,162789.9933
Argentina,145990.0055,154899.9939,162809.9976,167229.9957,156570.0073,167220.0012
Armenia,4460.000038,4489.999771,5199.999809,5690.000057,4510.000229,4340.000153
American Samoa,,,,,,
Antigua and Barbuda,409.9999964,439.9999976,460.0000083,479.9999893,1389.999986,490.0000095
Australia,370089.9963,375489.9902,385750,388940.0024,395290.0085,387540.0085
Austria,76239.99786,74099.99847,71239.99786,70730.00336,64419.99817,69959.99908
Azerbaijan,30040.00092,30489.99977,27629.99916,30450.00076,25500,24309.99947
Burundi,150.000006,180.0000072,180.0000072,180.0000072,180.0000072,300.0000119
Belgium,110610.0006,108650.0015,104589.9963,106930.0003,99669.99817,106720.0012
Benin,2900.000095,3470.000029,4000,4019.999981,4420.000076,4829.999924
Burkina Faso,1059.999943,1240.00001,1409.999967,1700.000048,1730.000019,2289.999962
Bangladesh,32709.99908,35900.00153,37990.00168,41580.00183,44750,50580.00183
Bulgaria,47990.00168,48950.00076,52599.99847,50040.00092,42909.99985,44740.00168
Bahrain,20690.00053,22489.99977,23000,24760.00023,24719.99931,25969.99931
"Bahamas, The",2109.999895,2099.999905,2119.999886,2200.000048,6170.000076,2079.999924
Bosnia and Herzegovina,16229.99954,17909.99985,18889.99939,20760.00023,20590.00015,20840.00015
Belarus,56779.99878,59119.99893,57650.00153,60529.99878,57400.00153,61669.99817
Belize,469.9999988,509.9999905,529.9999714,500,1460.000038,560.0000024
Bermuda,,,,,,
Bolivia,10050.00019,11229.99954,12079.99992,13109.99966,14000,15170.00008
Brazil,331690.0024,335619.9951,352559.9976,373630.0049,350000,397929.9927
Barbados,1419.999957,1470.000029,1480.000019,1779.999971,4619.999886,1549.999952
Brunei Darussalam,4989.999771,7519.999981,7139.999866,7909.999847,7869.999886,7170.000076
Bhutan,319.9999928,319.9999928,319.9999928,300.0000119,319.9999928,400.000006
Botswana,4280.00021,4090.000153,4320.000172,4389.999866,4190.000057,3369.999886
Central African Republic,219.9999988,230.0000042,239.9999946,170.0000018,170.0000018,170.0000018
Canada,549030.0293,540530.0293,571630.0049,550469.9707,521320.0073,537010.0098
Central Europe and the Baltics,733620.0037,751329.9971,758250.0057,740869.9799,683720.0065,707019.9957
Switzerland,45849.99847,45479.99954,43540.00092,44959.99908,43669.99817,45209.99908
Channel Islands,,,,,,
Chile,55970.00122,57150.00153,64569.99969,67989.99786,65449.99695,69750
China,5824629.883,6437470.215,6993180.176,7199600.098,7719069.824,8474919.922
Cote d'Ivoire,5880.000114,5699.999809,5659.999847,6469.99979,6030.00021,6349.999905
Cameroon,5019.999981,5090.000153,6130.000114,6389.999866,7030.00021,7010.000229
"Congo, Dem. Rep.",2210.000038,2279.999971,2470.000029,2549.999952,2500,2650.000095
"Congo, Rep.",4309.999943,4780.00021,4150.000095,4360.000134,4840.000153,5420.000076
Colombia,57639.99939,57689.99863,59180.00031,59779.99878,62009.99832,63560.00137
Comoros,150.000006,170.0000018,109.9999994,109.9999994,140.0000006,170.0000018
Cabo Verde,439.9999976,500,460.0000083,479.9999893,509.9999905,540.0000215
Costa Rica,6269.999981,6559.999943,7599.999905,7519.999981,7199.999809,7110.000134
Caribbean small states,37050.00049,40889.99981,41590.00033,39120.00042,47910.00104,38609.99896
Cuba,26319.99969,26780.00069,27680.00031,26750,26979.99954,28110.00061
Curacao,,,,,,
Cayman Islands,,,,,,
Cyprus,7900.000095,8000,8310.00042,8489.999771,8279.999733,7900.000095
Czechia,119989.9979,120599.9985,123620.0027,118309.9976,111169.9982,112250
Germany,802380.0049,814409.9731,783799.9878,789690.0024,734809.9976,773070.0073
Djibouti,430.0000072,430.0000072,469.9999988,469.9999988,469.9999988,519.9999809
Dominica,159.9999964,170.0000018,180.0000072,180.0000072,500,180.0000072
Denmark,50200.00076,58130.00107,53409.99985,50130.00107,47930.00031,48119.99893
Dominican Republic,18690.00053,20370.00084,20629.99916,20579.99992,19659.99985,20680.00031
Algeria,94190.00244,99809.99756,102750,107750,112169.9982,114180.0003
East Asia & Pacific (excluding high income),6832227.72,7474038.208,8068467.521,8306101.225,8812398.894,9648332.214
Early-demographic dividend,4678233.73,4932609.923,5227577.867,5427982.199,5589647.656,5865105.891
East Asia & Pacific,9349823.127,10010057.89,10693457.64,10888327.64,11372365.81,12346726.56
Europe & Central Asia (excluding high income),2728718.524,2840501.926,2897641.34,2936993.443,2709358.124,2846013.433
Europe & Central Asia,6798745.078,6920008.6,6919938.586,6869189.163,6349103.149,6589266.085
Ecuador,28219.99931,30129.99916,30639.99939,31690.00053,34500,37250
"Egypt, Arab Rep.",162220.0012,170750,183399.9939,189940.0024,197660.0037,200309.9976
Euro area,2746329.985,2729999.943,2692959.954,2635759.999,2438199.996,2501249.995
Eritrea,600.0000238,519.9999809,509.9999905,449.9999881,469.9999988,500
Spain,350500,341779.9988,354679.9927,324269.989,287489.9902,273250
Estonia,17229.99954,15979.99954,19979.99954,18399.99962,15050.00019,19000
Ethiopia,5050.000191,5400.000095,5960.000038,6489.999771,6530.00021,6469.99979
European Union,3488149.989,3496999.943,3456569.96,3378879.983,3129210.004,3213189.989
Fragile and conflict affected situations,588420.5151,582173.6506,564812.2951,603986.9168,603824.6543,652217.4495
Finland,55459.99908,67019.99664,65099.99847,56659.99985,54180.00031,62529.99878
Fiji,1289.999962,1379.999995,1259.99999,970.0000286,970.0000286,1159.999967
France,380660.0037,371549.9878,362829.9866,357989.9902,343730.011,347779.9988
Faroe Islands,,,,,,
"Micronesia, Fed. Sts.",159.9999964,140.0000006,140.0000006,119.9999973,129.9999952,109.9999994
Gabon,6059.999943,5440.000057,4940.000057,5269.999981,5199.999809,5760.000229
United Kingdom,540919.9829,542059.9976,530500,515340.0269,466489.9902,482440.0024
Georgia,4239.999771,4699.999809,5630.000114,4840.000153,5619.999886,5320.000172
Ghana,7039.999962,8510.000229,9119.999886,8659.999847,10010.00023,11189.99958
Gibraltar,,,,,,
Guinea,1830.000043,1899.999976,1980.000019,2009.99999,2119.999886,2500
"Gambia, The",330.0000131,360.0000143,409.9999964,430.0000072,490.0000095,439.9999976
Guinea-Bissau,209.9999934,219.9999988,230.0000042,219.9999988,230.0000042,239.9999946
Equatorial Guinea,8319.999695,9369.999886,8539.999962,9779.999733,9710.000038,9949.999809
Greece,101949.9969,100699.9969,104309.9976,100410.0037,94739.99786,87580.00183
