Country Name,2005,2006,2007,2008,2009,2010
Aruba,100028,100830,101226,101362,101452,101665
Africa Eastern and Southern,453404076,465581372,478166911,491173160,504604672,518468229
Afghanistan,25654274,26433058,27100542,27722281,28394806,29185511
Africa Western and Central,305520588,313985474,322741656,331772330,341050537,350556886
Angola,19433604,20149905,20905360,21695636,22514275,23356247
Albania,3011487,2992547,2970017,2947314,2927519,2913021
Andorra,78871,80995,82682,83860,84461,84454
Arab World,314965776,322452764,330290752,338395936,346629179,354890097
United Arab Emirates,4588222,5300172,6168846,7089486,7917368,8549998
Argentina,38892924,39289876,39684303,40080159,40482786,40788453
Armenia,2981262,2958301,2932615,2907615,2888094,2877314
American Samoa,59557,59109,58367,57490,56675,56084
Antigua and Barbuda,81462,82715,84029,85394,86743,88030
Australia,20394800,20697900,20827600,21249200,21691700,22031750
Austria,8227829,8268641,8295487,8321496,8343323,8363404
Azerbaijan,8391850,8484550,8581300,8763400,8947243,9054332
Burundi,7364857,7607850,7862226,8126104,8397661,8675606
Belgium,10478617,10547958,10625700,10709973,10796493,10895586
Benin,7982223,8216893,8454790,8696915,8944713,9199254
Burkina Faso,13421935,13829173,14252029,14689725,15141098,15605211
Bangladesh,139035505,140921154,142660381,144304164,145924795,147575433
Bulgaria,7658972,7601022,7545338,7492561,7444443,7395599
Bahrain,889157,958423,1035924,1114645,1185075,1240864
"Bahamas, The",324848,331032,337387,343680,349600,354936
Bosnia and Herzegovina,3765332,3765422,3762791,3754261,3735945,3705478
Belarus,9663915,9604924,9560953,9527985,9504583,9483836
Belize,283798,291338,299031,306822,314655,322465
Bermuda,64154,64523,64888,65273,65636,65124
Bolivia,9232301,9395449,9558438,9721457,9884790,10048597
Brazil,186127108,188167353,190130445,192030362,193886505,195713637
Barbados,276320,277475,278701,279946,281107,282131
Brunei Darussalam,365112,370262,374967,379418,383902,388634
Bhutan,648744,657404,664873,671611,678329,685502
Botswana,1799077,1835911,1875458,1915636,1953495,1987106
Central African Republic,4038380,4118075,4198004,4273368,4337623,4386765
Canada,32243753,32571174,32889025,33247118,33628895,34004889
Central Europe and the Baltics,106041911,105772481,105378748,105001883,104800475,104421447
Switzerland,7437115,7483934,7551117,7647675,7743831,7824909
Channel Islands,151674,152999,154644,156441,158187,159718
Chile,16182713,16354507,16530201,16708255,16886184,17062531
China,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000
Cote d'Ivoire,18354513,18754914,19171250,19605568,20059147,20532944
Cameroon,17733408,18223677,18730283,19252674,19789922,20341236
"Congo, Dem. Rep.",54785894,56578046,58453687,60411195,62448572,64563853
"Congo, Rep.",3622775,3745143,3876123,4011487,4145400,4273738
Colombia,42647731,43200901,43737512,44254972,44750054,45222699
Comoros,611625,626427,641624,657227,673251,689696
Cabo Verde,463034,469171,475067,480846,486667,492644
Costa Rica,4285504,4345421,4404626,4463123,4520739,4577371
Caribbean small states,6742657,6788122,6833394,6878973,6925446,6973193
Cuba,11261586,11261241,11251117,11236975,11226711,11225833
Curacao,137658,141239,144056,145880,146833,148703
Cayman Islands,49261,50729,52280,53835,55321,56672
Cyprus,1027657,1045508,1063708,1081568,1098089,1112617
Czechia,10211216,10238905,10298828,10384603,10443936,10474410
Germany,82469422,82376451,82266372,82110097,81902307,81776930
Djibouti,783248,794554,805456,816361,827820,840194
Dominica,70580,70718,70797,70829,70848,70877
Denmark,5419432,5437272,5461438,5493621,5523095,5547683
Dominican Republic,9097262,9218681,9338856,9458079,9576736,9695117
Algeria,33149720,33641007,34166976,34730604,35333882,35977451
East Asia & Pacific (excluding high income),1895295259,1909911027,1924037330,1938075970,1952035667,1965972280
