Country Name,2005,2006,2007,2008,2009,2010
Aruba,,,,,,
Africa Eastern and Southern,780.8510523,789.4878405,796.9019357,760.5768971,723.9149031,740.4176551
Afghanistan,,,,,,
Africa Western and Central,145.3250506,144.9849866,158.4197378,154.5007324,152.7784232,165.0656209
Angola,109.2952187,144.7153225,133.2672578,172.3848981,189.2577043,206.4544017
Albania,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354
Andorra,,,,,,
Arab World,1842.769081,1943.067343,1998.315203,2065.102645,2123.652249,2301.342047
United Arab Emirates,12279.9202,11693.3941,11451.89878,11294.18973,10618.80665,10609.944
Argentina,2408.432958,2374.097592,2455.656081,2772.843291,2730.123367,2877.652653
Armenia,1521.50331,1639.79257,1773.161496,1669.409464,1661.303268,1726.262758
American Samoa,,,,,,
Antigua and Barbuda,,,,,,
Australia,10458.45019,10490.48454,10972.89174,10749.11055,10791.5931,10726.92818
Austria,7977.681597,8244.401952,8207.474739,8233.014833,7944.796096,8382.711154
Azerbaijan,2388.388734,2552.286214,2118.210528,2040.760435,1620.38742,1603.431374
Burundi,,,,,,
Belgium,8509.997073,8683.671285,8614.679503,8521.49674,7903.955479,8393.949623
Benin,73.78896831,75.08920951,79.71812428,86.35245946,87.87313802,95.44252175
Burkina Faso,,,,,,
Bangladesh,176.0773264,196.9399144,206.104875,207.526929,226.0479448,247.2633775
Bulgaria,4165.180392,4366.912765,4523.322878,4674.503151,4483.747139,4560.414917
Bahrain,21325.8176,21508.24845,20592.24422,18491.08909,17459.65445,18038.23787
"Bahamas, The",,,,,,
Bosnia and Herzegovina,2389.696314,2384.593281,2382.539982,2986.473237,2891.637859,3155.598279
Belarus,3245.372088,3365.981865,3393.908536,3481.743517,3299.460902,3566.173013
Belize,,,,,,
Bermuda,,,,,,
Bolivia,476.5875809,506.9475658,538.6863418,527.8015425,546.597348,596.5011832
Brazil,2015.799869,2072.36268,2167.606561,2229.845299,2197.125581,2374.116628
Barbados,,,,,,
